country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,845.295,900.066,896.036,999.238,1052.539,1191.318,1229.735,1457.686,1561.15,1655.363,1875.016,1965.75,2007.136,2008.695,1923.276,1957.577,2024.189
Albania,2065.753,2329.302,2655.585,2948.514,3247.921,2961.109,3278.088,3781.164,4162.267,4653.652,4954.286,5352.427,5827.209,6379.655,7007.894,7682.668,8485.749,8896.741,9385.743,9849.795,10190.221,10477.717,10877.529,11273.455,11820.515,12506.645,13274.097
Algeria,6963.246,6817.344,6748.718,7010.746,7278.713,7361.338,7698.083,7942.719,8282.592,8599.211,9085.161,9786.754,10332.415,11125.969,11487.59,12008.489,12267.447,12321.217,12667.726,13026.656,13431.874,13737.124,14211.868,14581.017,14955.261,15237.198,15757.706
Angola,2015.329,1522.747,1530.084,1743.974,1957.596,2073.741,2130.661,2146.078,2196.071,2272.419,2546.228,2636.181,2899.027,3512.522,4182.467,5135.404,5786.043,5796.753,5893.375,6066.033,6308.385,6649.414,6880.734,6955.325,6783.266,6752.58,6849.824
Antigua and Barbuda,12490.011,13164.707,13980.018,13290.144,14037.121,14644.36,15091.229,15506.857,16570.835,15834.576,16070.532,17200.726,18490.402,20091.744,23098.201,25633.807,25851.611,22649.811,21050.377,20812.723,21703.459,21798.993,23074.204,24013.159,25347.436,26231.545,27471.047
Argentina,9095.877,9749.253,10404.229,10192.614,10822.626,11764.146,12212.103,11849.834,11897.892,11515.979,10319.064,11347.803,12594.189,14015.809,15457.421,17128.579,17995.187,16893.446,18529.323,19817.451,19749.537,20322.481,19946.913,20491.792,20156.26,20875.756,21528.755
Armenia,1416.267,1275.764,1406.668,1585.081,1724.217,1830.466,1985.333,2093.078,2273.346,2561.94,2996.233,3496.872,3982.419,4721.849,5527.642,6476.547,7086.088,6150.25,6370.175,6803.483,7418.098,7760.515,8170.329,8512.766,8643.199,9455.943,9998.792
Australia,19746.877,20812.583,22076.345,22890.795,23997.521,25268.767,26472.499,27736.552,28903.917,29939.747,31318.443,32427.858,34336.873,36008.478,37568.266,39486.853,40461.023,40780.509,41675.096,43015.778,44691.541,45640.23,46967.976,47961.769,49096.399,50333.705,52190.929
Austria,22283.944,22691.016,23592.364,24666.051,25683.887,26640.378,27863.304,29238.86,30839.344,31819.852,32680.098,33495.822,35136.686,36829.275,39069.445,41467.451,42762.536,41366.108,42540.838,44541.75,45466.161,45934.61,46778.47,47327.868,48013.548,49868.712,51936.179
Azerbaijan,4664.182,3658.327,2957.715,2610.08,2695.811,2957.392,3138.128,3515.015,3781.107,4076.732,4487.387,4996.627,5555.443,7252.158,9927.13,12619.59,14045.515,15230.964,15994.601,15861.326,16271.494,17276.909,17824.47,17915.447,17377.589,17492.359,18035.946
