adm0_name,mkt_name,cm_name,mp_price,date,um_name
Philippines,Lingayen,Rice (paddy),17027.720273057123,2008-1,KG
Philippines,Lingayen,Rice (paddy),15949.533913173611,2008-2,KG
Philippines,Lingayen,Rice (paddy),14931.601940431052,2008-3,KG
Philippines,Lingayen,Rice (paddy),13505.61789836021,2008-4,KG
Philippines,Lingayen,Rice (paddy),13034.902352528889,2008-5,KG
Philippines,Lingayen,Rice (paddy),12370.523291657042,2008-6,KG
Philippines,Lingayen,Rice (paddy),12191.013104550431,2008-7,KG
Philippines,Lingayen,Rice (paddy),15668.938042385491,2008-8,KG
Philippines,Lingayen,Rice (paddy),16838.694080949852,2008-9,KG
Philippines,Lingayen,Rice (paddy),18534.005006391388,2008-10,KG
Philippines,Lingayen,Rice (paddy),18202.69625387736,2008-11,KG
Philippines,Lingayen,Rice (paddy),17608.586893740077,2008-12,KG
Philippines,Lingayen,Rice (paddy),16993.348848097605,2009-1,KG
Philippines,Lingayen,Rice (paddy),14494.650118295867,2009-2,KG
Philippines,Lingayen,Rice (paddy),15108.244844275972,2009-3,KG
Philippines,Lingayen,Rice (paddy),14688.75406401763,2009-4,KG
Philippines,Lingayen,Rice (paddy),14712.366213295147,2009-5,KG
Philippines,Lingayen,Rice (paddy),14947.09853771889,2009-6,KG
Philippines,Lingayen,Rice (paddy),15835.645093107325,2009-7,KG
Philippines,Lingayen,Rice (paddy),17101.563124855973,2009-8,KG
Philippines,Lingayen,Rice (paddy),17288.454456666186,2009-9,KG
Philippines,Lingayen,Rice (paddy),17654.16132576451,2009-10,KG
Philippines,Lingayen,Rice (paddy),16672.307236073702,2009-11,KG
Philippines,Lingayen,Rice (paddy),15151.843280035622,2009-12,KG
Philippines,Lingayen,Rice (paddy),15958.736517170211,2010-1,KG
Philippines,Lingayen,Rice (paddy),16378.714867401708,2010-2,KG
Philippines,Lingayen,Rice (paddy),14538.801178536552,2010-3,KG
Philippines,Lingayen,Rice (paddy),15845.072875237787,2010-4,KG
Philippines,Lingayen,Rice (paddy),15642.41092993382,2010-5,KG
Philippines,Lingayen,Rice (paddy),16882.966690248577,2010-6,KG
Philippines,Lingayen,Rice (paddy),16897.50115687182,2010-7,KG
Philippines,Lingayen,Rice (paddy),16913.604693038375,2010-8,KG
Philippines,Lingayen,Rice (paddy),16626.693267669594,2010-9,KG
Philippines,Lingayen,Rice (paddy),16679.96169684975,2010-10,KG
Philippines,Lingayen,Rice (paddy),16333.80026367831,2010-11,KG
Philippines,Lingayen,Rice (paddy),16869.211875990128,2010-12,KG
Philippines,Lingayen,Rice (paddy),14774.173916044205,2012-1,KG
Philippines,Lingayen,Rice (paddy),14779.842724248694,2012-2,KG
Philippines,Lingayen,Rice (paddy),14783.053196601171,2012-3,KG
Philippines,Lingayen,Rice (paddy),14963.064634506687,2012-5,KG
Philippines,Lingayen,Rice (paddy),14922.529954021733,2012-6,KG
Philippines,Lingayen,Rice (paddy),14240.513307137522,2012-7,KG
Philippines,Lingayen,Rice (paddy),14329.854670233242,2012-8,KG
Philippines,Lingayen,Rice (paddy),14584.374839352187,2012-9,KG
Philippines,Lingayen,Rice (paddy),15359.233530770909,2012-10,KG
Philippines,Lingayen,Rice (paddy),15166.671175323636,2012-11,KG
Philippines,Lingayen,Rice (paddy),15021.584686796801,2012-12,KG
Philippines,Lingayen,Rice (paddy),15302.136639670578,2013-1,KG
Philippines,Lingayen,Rice (paddy),15218.55009793494,2013-2,KG
Philippines,Lingayen,Rice (paddy),15204.257549713982,2013-3,KG
Philippines,Tuguegarao,Rice (paddy),17069.01628018661,2008-1,KG
Philippines,Tuguegarao,Rice (paddy),16083.871488246283,2008-2,KG
Philippines,Tuguegarao,Rice (paddy),16102.707974974663,2008-3,KG
Philippines,Tuguegarao,Rice (paddy),12666.956212814706,2008-4,KG
Philippines,Tuguegarao,Rice (paddy),11442.494178534378,2008-5,KG
Philippines,Tuguegarao,Rice (paddy),12008.206709893027,2008-6,KG
Philippines,Tuguegarao,Rice (paddy),14009.35865818809,2008-7,KG
Philippines,Tuguegarao,Rice (paddy),18538.249945051622,2008-8,KG
Philippines,Tuguegarao,Rice (paddy),18459.530944356793,2008-9,KG
Philippines,Tuguegarao,Rice (paddy),18687.524626173246,2008-10,KG
Philippines,Tuguegarao,Rice (paddy),20262.28419654715,2008-11,KG
Philippines,Tuguegarao,Rice (paddy),18018.684987335186,2008-12,KG
Philippines,Tuguegarao,Rice (paddy),16993.348848097605,2009-1,KG
Philippines,Tuguegarao,Rice (paddy),13968.767120806675,2009-2,KG
Philippines,Tuguegarao,Rice (paddy),15714.089249058967,2009-3,KG
Philippines,Tuguegarao,Rice (paddy),15107.414731700364,2009-4,KG
Philippines,Tuguegarao,Rice (paddy),15064.164056531512,2009-5,KG
Philippines,Tuguegarao,Rice (paddy),15566.764683126834,2009-6,KG
Philippines,Tuguegarao,Rice (paddy),15795.504040906799,2009-7,KG
Philippines,Tuguegarao,Rice (paddy),16645.82526676521,2009-8,KG
Philippines,Tuguegarao,Rice (paddy),17397.18687463264,2009-9,KG
Philippines,Tuguegarao,Rice (paddy),15971.154493262306,2009-10,KG
Philippines,Tuguegarao,Rice (paddy),17675.06194664915,2009-11,KG
Philippines,Tuguegarao,Rice (paddy),15977.94111844182,2009-12,KG
Philippines,Tuguegarao,Rice (paddy),15958.736517170211,2010-1,KG
Philippines,Tuguegarao,Rice (paddy),15755.720804960662,2010-2,KG
Philippines,Tuguegarao,Rice (paddy),16027.603827666086,2010-3,KG
Philippines,Tuguegarao,Rice (paddy),16755.70924737789,2010-4,KG
