adm0_name,mkt_name,cm_name,mp_price,date,um_name
Costa Rica,National Average,Maize (white),34238.25741079465,2007-9,KG
Costa Rica,National Average,Maize (white),34260.1406118358,2007-10,KG
Costa Rica,National Average,Maize (white),33973.66271741871,2007-11,KG
Costa Rica,National Average,Maize (white),33013.00091569939,2007-12,KG
Costa Rica,National Average,Maize (white),34592.06125608446,2008-1,KG
Costa Rica,National Average,Maize (white),34504.23544305558,2008-2,KG
Costa Rica,National Average,Maize (white),34456.30057723165,2008-3,KG
Costa Rica,National Average,Maize (white),34370.35261184981,2008-4,KG
Costa Rica,National Average,Maize (white),35586.205808080806,2008-5,KG
Costa Rica,National Average,Maize (white),36155.59838130335,2008-6,KG
Costa Rica,National Average,Maize (white),37374.60556652251,2008-7,KG
Costa Rica,National Average,Maize (white),38496.83282500214,2008-8,KG
Costa Rica,National Average,Maize (white),31560.374314130688,2008-9,KG
Costa Rica,National Average,Maize (white),33355.51730166629,2008-10,KG
Costa Rica,National Average,Maize (white),33388.29626837543,2008-11,KG
Costa Rica,National Average,Maize (white),24802.494353424336,2008-12,KG
Costa Rica,National Average,Maize (white),25602.809448818898,2009-1,KG
Costa Rica,National Average,Maize (white),30564.91511721908,2009-2,KG
Costa Rica,National Average,Maize (white),26064.304990728222,2009-3,KG
Costa Rica,National Average,Maize (white),25344.879730000222,2009-4,KG
Costa Rica,National Average,Maize (white),25642.653151353283,2009-5,KG
Costa Rica,National Average,Maize (white),23651.125981961013,2009-6,KG
Costa Rica,National Average,Maize (white),24746.86664400347,2009-7,KG
Costa Rica,National Average,Maize (white),23970.92428912934,2009-8,KG
Costa Rica,National Average,Maize (white),23916.829877065054,2009-9,KG
Costa Rica,National Average,Maize (white),24692.617531211712,2009-10,KG
Costa Rica,National Average,Maize (white),19470.78863849578,2009-11,KG
Costa Rica,National Average,Maize (white),18325.512680819083,2009-12,KG
Costa Rica,National Average,Maize (white),24165.953178523443,2010-1,KG
Costa Rica,National Average,Maize (white),21713.298473834122,2010-2,KG
Costa Rica,National Average,Maize (white),20135.436279286867,2010-3,KG
Costa Rica,National Average,Maize (white),18772.973429925056,2010-4,KG
Costa Rica,National Average,Maize (white),22760.09040546996,2010-5,KG
Costa Rica,National Average,Maize (white),20877.079279956837,2010-6,KG
Costa Rica,National Average,Maize (white),19781.485813432893,2010-7,KG
Costa Rica,National Average,Maize (white),18360.73701495714,2010-8,KG
Costa Rica,National Average,Maize (white),18759.0458176476,2010-9,KG
Costa Rica,National Average,Maize (white),19275.562214364156,2010-10,KG
Costa Rica,National Average,Maize (white),18957.49463301077,2010-11,KG
Costa Rica,National Average,Maize (white),16366.168082952025,2010-12,KG
Costa Rica,National Average,Maize (white),18555.94912207936,2011-1,KG
Costa Rica,National Average,Maize (white),17426.770074582557,2011-2,KG
Costa Rica,National Average,Maize (white),23237.60534300592,2011-3,KG
Costa Rica,National Average,Maize (white),23218.341730145163,2011-4,KG
Costa Rica,National Average,Maize (white),19589.22451791438,2011-5,KG
Costa Rica,National Average,Maize (white),18964.044451666232,2011-6,KG
Costa Rica,National Average,Maize (white),17529.230146343376,2011-7,KG
Costa Rica,National Average,Maize (white),15287.964424761423,2011-8,KG
Costa Rica,National Average,Maize (white),14672.936031813275,2011-9,KG
Costa Rica,National Average,Maize (white),15072.363869947625,2011-10,KG
Costa Rica,National Average,Maize (white),16327.632487340521,2011-11,KG
Costa Rica,National Average,Maize (white),16458.023298589822,2011-12,KG
Costa Rica,National Average,Maize (white),18760.42579587937,2012-1,KG
Costa Rica,National Average,Maize (white),20988.26987307949,2012-2,KG
Costa Rica,National Average,Maize (white),20155.30941282128,2012-3,KG
Costa Rica,National Average,Maize (white),21780.150425744137,2012-4,KG
Costa Rica,National Average,Maize (white),21598.48766646171,2012-5,KG
Costa Rica,National Average,Maize (white),20130.27176137678,2012-6,KG
Costa Rica,National Average,Maize (white),20253.184357541897,2012-7,KG
Costa Rica,National Average,Maize (white),22618.19694291359,2012-8,KG
Costa Rica,National Average,Maize (white),18643.97017228079,2012-9,KG
Costa Rica,National Average,Maize (white),17454.705718959292,2012-10,KG
Costa Rica,National Average,Maize (white),17507.045847881007,2012-11,KG
Costa Rica,National Average,Maize (white),19326.84673847668,2012-12,KG
Costa Rica,National Average,Maize (white),20125.456866526984,2013-1,KG
Costa Rica,National Average,Maize (white),19023.51475246421,2013-2,KG
Costa Rica,National Average,Maize (white),19900.268239975303,2013-3,KG
Costa Rica,National Average,Maize (white),20009.766337714416,2013-4,KG
Costa Rica,National Average,Maize (white),20035.243087931594,2013-5,KG
Costa Rica,National Average,Maize (white),20035.65824008841,2013-6,KG
Costa Rica,National Average,Maize (white),20273.804729599677,2013-7,KG
Costa Rica,National Average,Maize (white),19026.551853466375,2013-8,KG
Costa Rica,National Average,Maize (white),20070.925842895656,2013-9,KG
Costa Rica,National Average,Maize (white),19825.12413074308,2013-10,KG
Costa Rica,National Average,Maize (white),19683.981437863895,2013-11,KG
Costa Rica,National Average,Maize (white),19732.27351264574,2013-12,KG
Costa Rica,National Average,Maize (white),21152.485433613874,2014-1,KG
Costa Rica,National Average,Maize (white),21508.005924484292,2014-2,KG
Costa Rica,National Average,Maize (white),22731.336624379146,2014-3,KG
Costa Rica,National Average,Maize (white),22968.062725053118,2014-4,KG
Costa Rica,National Average,Maize (white),23629.44702326441,2014-5,KG
Costa Rica,National Average,Maize (white),24068.29420619415,2014-6,KG
Costa Rica,National Average,Maize (white),23086.83919842914,2014-7,KG
Costa Rica,National Average,Maize (white),21272.162679527413,2014-8,KG
Costa Rica,National Average,Maize (white),21765.540709722016,2014-9,KG
Costa Rica,National Average,Maize (white),21618.81396687894,2014-12,KG
Costa Rica,National Average,Maize (white),22741.89872214054,2015-1,KG
Costa Rica,National Average,Maize (white),23892.08761906226,2015-2,KG
Costa Rica,National Average,Maize (white),23188.752857467825,2015-3,KG
Costa Rica,National Average,Maize (white),22079.33927728127,2015-4,KG
Costa Rica,National Average,Maize (white),22176.508307863496,2015-5,KG
Costa Rica,National Average,Maize (white),22334.10722854524,2015-6,KG
Costa Rica,National Average,Maize (white),22290.426004789148,2015-7,KG
Costa Rica,National Average,Maize (white),21288.588526902484,2015-10,KG
Costa Rica,National Average,Maize (white),20934.956535791483,2015-11,KG
Costa Rica,National Average,Maize (white),20898.510472400718,2015-12,KG
Costa Rica,National Average,Maize (white),23444.89083725088,2016-1,KG
Costa Rica,National Average,Maize (white),22561.13312906593,2016-2,KG
Costa Rica,National Average,Maize (white),21668.357956325006,2016-3,KG
Costa Rica,National Average,Beans (black),11830.244024778674,2007-9,KG
Costa Rica,National Average,Beans (black),11837.832493128793,2007-10,KG
Costa Rica,National Average,Beans (black),11738.831112272452,2007-11,KG
Costa Rica,National Average,Beans (black),11406.901588284227,2007-12,KG
Costa Rica,National Average,Beans (black),11952.445941582693,2008-1,KG
Costa Rica,National Average,Beans (black),11016.74443602961,2008-2,KG
Costa Rica,National Average,Beans (black),9527.328950375779,2008-3,KG
Costa Rica,National Average,Beans (black),9502.179755608384,2008-4,KG
Costa Rica,National Average,Beans (black),10331.450701656795,2008-5,KG
Costa Rica,National Average,Beans (black),10767.837016943971,2008-6,KG
Costa Rica,National Average,Beans (black),9063.13016151429,2008-7,KG
Costa Rica,National Average,Beans (black),7714.213910812176,2008-8,KG
Costa Rica,National Average,Beans (black),6625.096563049929,2008-9,KG
Costa Rica,National Average,Beans (black),7982.183902497111,2008-10,KG
Costa Rica,National Average,Beans (black),7274.043898547664,2008-11,KG
Costa Rica,National Average,Beans (black),7481.392262260269,2008-12,KG
Costa Rica,National Average,Beans (black),6635.884374566323,2009-1,KG
Costa Rica,National Average,Beans (black),7215.676040335178,2009-2,KG
Costa Rica,National Average,Beans (black),6302.24834087949,2009-3,KG
Costa Rica,National Average,Beans (black),6824.973145569401,2009-4,KG
Costa Rica,National Average,Beans (black),7722.605713417124,2009-5,KG
Costa Rica,National Average,Beans (black),7569.289389259145,2009-6,KG
Costa Rica,National Average,Beans (black),7754.319592103443,2009-7,KG
Costa Rica,National Average,Beans (black),7742.804782333712,2009-8,KG
Costa Rica,National Average,Beans (black),7695.7859907505435,2009-9,KG
Costa Rica,National Average,Beans (black),7697.134091683816,2009-10,KG
Costa Rica,National Average,Beans (black),7381.703653366791,2009-11,KG
Costa Rica,National Average,Beans (black),7361.015409227426,2009-12,KG
Costa Rica,National Average,Beans (black),8217.842478536768,2010-1,KG
Costa Rica,National Average,Beans (black),7937.19883637087,2010-2,KG
Costa Rica,National Average,Beans (black),7620.136802693565,2010-3,KG
Costa Rica,National Average,Beans (black),7522.998111745767,2010-4,KG
Costa Rica,National Average,Beans (black),7583.42568342034,2010-5,KG
Costa Rica,National Average,Beans (black),7996.122499459893,2010-6,KG
Costa Rica,National Average,Beans (black),7949.181210644106,2010-7,KG
Costa Rica,National Average,Beans (black),7601.193899066239,2010-8,KG
Costa Rica,National Average,Beans (black),7479.044813185655,2010-9,KG
Costa Rica,National Average,Beans (black),7843.419666522317,2010-10,KG
Costa Rica,National Average,Beans (black),7580.949440737135,2010-11,KG
Costa Rica,National Average,Beans (black),9940.225752584516,2010-12,KG
Costa Rica,National Average,Beans (black),11769.90594786574,2011-1,KG
Costa Rica,National Average,Beans (black),11732.985358243497,2011-2,KG
Costa Rica,National Average,Beans (black),8863.914673006753,2011-3,KG
Costa Rica,National Average,Beans (black),8782.394011372633,2011-4,KG
Costa Rica,National Average,Beans (black),8466.552698645,2011-5,KG
Costa Rica,National Average,Beans (black),8975.682796993286,2011-6,KG
Costa Rica,National Average,Beans (black),9078.469145489351,2011-7,KG
Costa Rica,National Average,Beans (black),9660.466529045787,2011-8,KG
Costa Rica,National Average,Beans (black),9756.474109558918,2011-9,KG
Costa Rica,National Average,Beans (black),9595.173787405864,2011-10,KG
Costa Rica,National Average,Beans (black),10119.251923533648,2011-11,KG
Costa Rica,National Average,Beans (black),9673.468008046666,2011-12,KG
Costa Rica,National Average,Beans (black),10183.024748597818,2012-1,KG
Costa Rica,National Average,Beans (black),10281.211676098612,2012-2,KG
Costa Rica,National Average,Beans (black),10021.33301201745,2012-3,KG
Costa Rica,National Average,Beans (black),9900.130764719783,2012-4,KG
Costa Rica,National Average,Beans (black),9839.620855719177,2012-5,KG
Costa Rica,National Average,Beans (black),9630.627289307115,2012-6,KG
Costa Rica,National Average,Beans (black),9532.89274074034,2012-7,KG
Costa Rica,National Average,Beans (black),9082.556766991554,2012-8,KG
Costa Rica,National Average,Beans (black),9499.99529661558,2012-9,KG
Costa Rica,National Average,Beans (black),9762.070239274753,2012-10,KG
Costa Rica,National Average,Beans (black),9940.367279178283,2012-11,KG
Costa Rica,National Average,Beans (black),9374.770748655656,2012-12,KG
Costa Rica,National Average,Beans (black),10115.29309202497,2013-1,KG
Costa Rica,National Average,Beans (black),9957.289651775278,2013-2,KG
Costa Rica,National Average,Beans (black),9129.071911880408,2013-3,KG
Costa Rica,National Average,Beans (black),9651.47119290834,2013-4,KG
Costa Rica,National Average,Beans (black),10130.978674657557,2013-5,KG
Costa Rica,National Average,Beans (black),9745.985591963034,2013-6,KG
Costa Rica,National Average,Beans (black),9754.812347583296,2013-7,KG
Costa Rica,National Average,Beans (black),9458.062466404175,2013-8,KG
Costa Rica,National Average,Beans (black),9591.415889525353,2013-9,KG
Costa Rica,National Average,Beans (black),10204.251591796532,2013-10,KG
Costa Rica,National Average,Beans (black),10328.438465811174,2013-11,KG
Costa Rica,National Average,Beans (black),9862.37981259605,2013-12,KG
Costa Rica,National Average,Beans (black),9493.892956180633,2014-1,KG
Costa Rica,National Average,Beans (black),9450.99872663533,2014-2,KG
Costa Rica,National Average,Beans (black),9707.369357918098,2014-3,KG
Costa Rica,National Average,Beans (black),9357.46963272879,2014-4,KG
Costa Rica,National Average,Beans (black),9009.280411450356,2014-5,KG
Costa Rica,National Average,Beans (black),8400.527964335857,2014-6,KG
Costa Rica,National Average,Beans (black),8267.442425250561,2014-7,KG
Costa Rica,National Average,Beans (black),8212.147182445417,2014-8,KG
Costa Rica,National Average,Beans (black),7799.445257444136,2014-9,KG
Costa Rica,National Average,Beans (black),7341.151847293047,2014-12,KG
Costa Rica,National Average,Beans (black),7538.633057242061,2015-1,KG
Costa Rica,National Average,Beans (black),7660.216124056984,2015-2,KG
Costa Rica,National Average,Beans (black),7964.059806400217,2015-3,KG
Costa Rica,National Average,Beans (black),7988.040727504426,2015-4,KG
Costa Rica,National Average,Beans (black),8054.363549697422,2015-5,KG
Costa Rica,National Average,Beans (black),8246.02221491391,2015-6,KG
Costa Rica,National Average,Beans (black),8256.752550762973,2015-7,KG
Costa Rica,National Average,Beans (black),8846.798995240544,2015-10,KG
Costa Rica,National Average,Beans (black),9887.637405011059,2015-11,KG
Costa Rica,National Average,Beans (black),15029.890458373218,2015-12,KG
Costa Rica,National Average,Beans (black),9636.196279020145,2016-1,KG
Costa Rica,National Average,Beans (black),9850.739558567271,2016-2,KG
Costa Rica,National Average,Beans (black),9984.826933942564,2016-3,KG
Costa Rica,National Average,Rice (milled 80-20),16753.706926557606,2007-9,KG
Costa Rica,National Average,Rice (milled 80-20),16764.4960706934,2007-10,KG
Costa Rica,National Average,Rice (milled 80-20),16624.222282526338,2007-11,KG
Costa Rica,National Average,Rice (milled 80-20),16154.212009287041,2007-12,KG
