base_currency,datetime,rate
AFN,2017-12,0.014452
AFN,2017-11,0.014568
AFN,2017-10,0.014632
AFN,2017-9,0.014584
AFN,2017-8,0.014608
AFN,2017-7,0.014653
AFN,2017-6,0.014677
AFN,2017-5,0.014704
AFN,2017-4,0.01483
AFN,2017-3,0.014986
AFN,2017-2,0.014966
AFN,2017-1,0.014966
AFN,2016-12,0.014984
AFN,2016-11,0.01504
AFN,2016-10,0.01517
AFN,2016-9,0.015004
AFN,2016-8,0.014872
AFN,2016-7,0.014549
AFN,2016-6,0.014475
AFN,2016-5,0.014564
AFN,2016-4,0.014612
AFN,2016-3,0.014602
AFN,2016-2,0.014517
AFN,2016-1,0.014578
AFN,2015-12,0.014802
AFN,2015-11,0.015048
AFN,2015-10,0.015517
AFN,2015-9,0.015677
AFN,2015-8,0.015819
AFN,2015-7,0.016478
AFN,2015-6,0.017056
AFN,2015-5,0.017277
AFN,2015-4,0.017277
AFN,2015-3,0.017338
AFN,2015-2,0.017452000000000002
AFN,2015-1,0.017336
AFN,2014-12,0.017216
AFN,2014-11,0.017269
AFN,2014-10,0.017355000000000002
AFN,2014-9,0.017468
AFN,2014-8,0.017611
AFN,2014-7,0.017509999999999998
AFN,2014-6,0.017294
AFN,2014-5,0.017417
AFN,2014-4,0.017480000000000002
AFN,2014-3,0.017418
AFN,2014-2,0.017488999999999998
AFN,2014-1,0.017627
AFN,2013-12,0.017474
AFN,2013-11,0.017311
AFN,2013-10,0.017466
AFN,2013-9,0.017526
AFN,2013-8,0.017746
AFN,2013-7,0.017616
AFN,2013-6,0.017896000000000002
AFN,2013-5,0.018094
AFN,2013-4,0.018314
AFN,2013-3,0.018686
AFN,2013-2,0.019086
AFN,2013-1,0.01931
AFN,2012-12,0.019216
AFN,2012-11,0.018806
AFN,2012-10,0.019008
AFN,2012-9,0.019272
AFN,2012-8,0.019486
AFN,2012-7,0.019401
AFN,2012-6,0.019614
AFN,2012-5,0.019965
AFN,2012-4,0.020036
AFN,2012-3,0.020191
AFN,2012-2,0.020271
AFN,2012-1,0.020232
AFN,2011-12,0.020452
AFN,2011-11,0.02075
AFN,2011-10,0.020912
AFN,2011-9,0.020874
AFN,2011-8,0.021196
AFN,2011-7,0.020988
AFN,2011-6,0.021446
AFN,2011-5,0.021704
AFN,2011-4,0.021858
AFN,2011-3,0.022068
AFN,2011-2,0.022087
AFN,2011-1,0.022044
AFN,2010-12,0.022084
AFN,2010-11,0.022118
AFN,2010-10,0.022154
AFN,2010-9,0.022071
AFN,2010-8,0.021804
AFN,2010-7,0.022082
AFN,2010-6,0.021576
AFN,2010-5,0.021528
AFN,2010-4,0.020983
AFN,2010-3,0.020733
AFN,2010-2,0.021076
AFN,2010-1,0.020424
AFN,2009-12,0.02035
AFN,2009-11,0.02035
AFN,2009-10,0.020245
AFN,2009-9,0.02001
AFN,2009-8,0.020229
AFN,2009-7,0.020002
AFN,2009-6,0.019102
AFN,2009-5,0.019102
AFN,2009-4,0.019102
AFN,2009-3,0.019102
AFN,2009-2,0.019108
AFN,2009-1,0.01922
AFN,2008-12,0.019218
AFN,2008-11,0.019212
AFN,2008-10,0.019639
AFN,2008-9,0.019843
AFN,2008-8,0.01998
AFN,2008-7,0.019975
AFN,2008-6,0.020048
AFN,2008-5,0.020073
AFN,2008-4,0.019971
AFN,2008-3,0.020144
AFN,2008-2,0.020272
AFN,2008-1,0.020172
AFN,2007-12,0.020121
AFN,2007-11,0.020030000000000003
AFN,2007-10,0.020030000000000003
AFN,2007-9,0.020028
AFN,2007-8,0.020068
AFN,2007-7,0.020052
AFN,2007-6,0.01994
AFN,2007-5,0.01994
AFN,2007-4,0.019952
AFN,2007-3,0.019979
AFN,2007-2,0.020012
AFN,2007-1,0.020066
AFN,2006-12,0.020048
AFN,2006-11,0.020074
AFN,2006-10,0.020094
AFN,2006-9,0.019973
AFN,2006-8,0.019952
AFN,2006-7,0.019947
AFN,2006-6,0.020122
AFN,2006-5,0.020152
AFN,2006-4,0.020044
AFN,2006-3,0.021848
AFN,2006-2,0.022851
AFN,2006-1,0.022851
AFN,2005-12,0.022851
AFN,2005-11,0.023094
AFN,2005-10,0.023373
AFN,2005-9,0.023373
AFN,2005-8,0.023373
AFN,2005-7,0.023373
AFN,2005-6,0.023373
AFN,2005-5,0.023373
AFN,2005-4,0.023373
AFN,2005-3,0.023373
AFN,2005-2,0.023373
AFN,2005-1,0.023373
AFN,2004-12,0.023373
AFN,2004-11,0.023373
AFN,2004-10,0.023373
AFN,2004-9,0.023373
AFN,2004-8,0.023373
AFN,2004-7,0.023373
AFN,2004-6,0.023373
AFN,2004-5,0.023373
AFN,2004-4,0.023373
AFN,2004-3,0.023373
AFN,2004-2,0.023373
AFN,2004-1,0.023373
AFN,2003-12,0.023373
AFN,2003-11,0.023373
AFN,2003-10,0.023373
AFN,2003-9,0.023373
AFN,2003-8,0.023373
AFN,2003-7,0.023373
AFN,2003-6,0.023373
AFN,2003-5,0.023373
AFN,2003-4,0.023373
AFN,2003-3,0.023373
AFN,2003-2,0.023373
AFN,2003-1,0.023373
AFN,2002-12,0.000212
AFN,2002-11,0.000212
AFN,2002-10,0.000212
AFN,2002-9,0.000212
AFN,2002-8,0.000212
AFN,2002-7,0.000212
AFN,2002-6,0.000212
AFN,2002-5,0.000212
AFN,2002-4,0.000212
AFN,2002-3,0.000212
AFN,2002-2,0.000212
AFN,2002-1,0.000212
AFN,2001-12,0.000211
AFN,2001-11,0.000211
AFN,2001-10,0.000211
AFN,2001-9,0.000211
AFN,2001-8,0.000211
AFN,2001-7,0.000211
AFN,2001-6,0.000211
AFN,2001-5,0.000211
AFN,2001-4,0.000211
AFN,2001-3,0.000211
AFN,2001-2,0.000211
AFN,2001-1,0.000211
AFN,2000-12,0.000211
AFN,2000-11,0.000211
AFN,2000-10,0.000211
AFN,2000-9,0.000185
AFN,2000-8,0.000211
AFN,2000-7,0.000211
AFN,2000-6,0.000212
AFN,2000-5,0.000212
AFN,2000-4,0.000212
AFN,2000-3,0.000212
AFN,2000-2,0.000211
AFN,2000-1,0.000214
AFN,1999-12,0.000213
AFN,1999-11,0.000213
AFN,1999-10,0.000213
AFN,1999-9,0.000213
AFN,1999-8,0.000213
AFN,1999-7,0.000213
AFN,1999-6,0.000213
AFN,1999-5,0.000213
AFN,1999-4,0.000213
AFN,1999-3,0.000212
AFN,1999-2,0.000211
AFN,1999-1,0.000211
AFN,1998-12,0.000211
AFN,1998-11,0.000211
AFN,1998-10,0.000211
AFN,1998-9,0.000211
AFN,1998-8,0.000211
AFN,1998-7,0.000211
AFN,1998-6,0.000211
AFN,1998-5,0.000211
AFN,1998-4,0.000211
AFN,1998-3,0.000211
AFN,1998-2,0.000211
AFN,1998-1,0.000211
AFN,1997-12,0.000211
AFN,1997-11,0.000211
AFN,1997-10,0.000211
AFN,1997-9,0.000211
AFN,1997-8,0.000211
AFN,1997-7,0.000211
AFN,1997-6,0.000211
AFN,1997-5,0.000211
AFN,1997-4,0.000211
AFN,1997-3,0.000211
AFN,1997-2,0.000211
AFN,1997-1,0.000211
AFN,1996-12,0.000211
AFN,1996-11,0.000211
AFN,1996-10,0.000211
AFN,1996-9,0.000211
AFN,1996-8,0.000211
AFN,1996-7,0.000211
AFN,1996-6,0.000211
AFN,1996-5,0.000211
AFN,1996-4,0.000211
AFN,1996-3,0.000211
AFN,1996-2,0.000211
AFN,1996-1,0.000211
AFN,1995-12,0.000215
AFN,1995-11,0.000225
AFN,1995-10,0.000277
AFN,1995-9,0.00028900000000000003
AFN,1995-8,0.00028900000000000003
AFN,1995-7,0.00028900000000000003
AFN,1995-6,0.00028900000000000003
AMD,2017-12,0.00207
AMD,2017-11,0.002066
AMD,2017-10,0.002084
AMD,2017-9,0.002092
AMD,2017-8,0.002094
AMD,2017-7,0.002094
AMD,2017-6,0.002081
AMD,2017-5,0.002072
AMD,2017-4,0.002066
AMD,2017-3,0.00207
AMD,2017-2,0.002058
AMD,2017-1,0.00206
AMD,2016-12,0.002071
AMD,2016-11,0.00209
AMD,2016-10,0.002104
AMD,2016-9,0.002109
AMD,2016-8,0.0021030000000000003
AMD,2016-7,0.002098
AMD,2016-6,0.002094
AMD,2016-5,0.00209
AMD,2016-4,0.002078
AMD,2016-3,0.002055
AMD,2016-2,0.002024
AMD,2016-1,0.00206
AMD,2015-12,0.00207
AMD,2015-11,0.002084
