quote_currency,base_currency,datetime,rate
USD,AFN,2017-12-01,0.014452
USD,AFN,2017-11-01,0.014568
USD,AFN,2017-10-01,0.014632
USD,AFN,2017-09-01,0.014584
USD,AFN,2017-08-01,0.014608
USD,AFN,2017-07-01,0.014653
USD,AFN,2017-06-01,0.014677
USD,AFN,2017-05-01,0.014704
USD,AFN,2017-04-01,0.014830
USD,AFN,2017-03-01,0.014986
USD,AFN,2017-02-01,0.014966
USD,AFN,2017-01-01,0.014966
USD,AFN,2016-12-01,0.014984
USD,AFN,2016-11-01,0.015040
USD,AFN,2016-10-01,0.015170
USD,AFN,2016-09-01,0.015004
USD,AFN,2016-08-01,0.014872
USD,AFN,2016-07-01,0.014549
USD,AFN,2016-06-01,0.014475
USD,AFN,2016-05-01,0.014564
USD,AFN,2016-04-01,0.014612
USD,AFN,2016-03-01,0.014602
USD,AFN,2016-02-01,0.014517
USD,AFN,2016-01-01,0.014578
USD,AFN,2015-12-01,0.014802
USD,AFN,2015-11-01,0.015048
USD,AFN,2015-10-01,0.015517
USD,AFN,2015-09-01,0.015677
USD,AFN,2015-08-01,0.015819
USD,AFN,2015-07-01,0.016478
USD,AFN,2015-06-01,0.017056
USD,AFN,2015-05-01,0.017277
USD,AFN,2015-04-01,0.017277
USD,AFN,2015-03-01,0.017338
USD,AFN,2015-02-01,0.017452
USD,AFN,2015-01-01,0.017336
USD,AFN,2014-12-01,0.017216
USD,AFN,2014-11-01,0.017269
USD,AFN,2014-10-01,0.017355
USD,AFN,2014-09-01,0.017468
USD,AFN,2014-08-01,0.017611
USD,AFN,2014-07-01,0.017510
USD,AFN,2014-06-01,0.017294
USD,AFN,2014-05-01,0.017417
USD,AFN,2014-04-01,0.017480
USD,AFN,2014-03-01,0.017418
USD,AFN,2014-02-01,0.017489
USD,AFN,2014-01-01,0.017627
USD,AFN,2013-12-01,0.017474
USD,AFN,2013-11-01,0.017311
USD,AFN,2013-10-01,0.017466
USD,AFN,2013-09-01,0.017526
USD,AFN,2013-08-01,0.017746
USD,AFN,2013-07-01,0.017616
USD,AFN,2013-06-01,0.017896
USD,AFN,2013-05-01,0.018094
USD,AFN,2013-04-01,0.018314
USD,AFN,2013-03-01,0.018686
USD,AFN,2013-02-01,0.019086
USD,AFN,2013-01-01,0.019310
USD,AFN,2012-12-01,0.019216
USD,AFN,2012-11-01,0.018806
USD,AFN,2012-10-01,0.019008
USD,AFN,2012-09-01,0.019272
USD,AFN,2012-08-01,0.019486
USD,AFN,2012-07-01,0.019401
USD,AFN,2012-06-01,0.019614
USD,AFN,2012-05-01,0.019965
USD,AFN,2012-04-01,0.020036
USD,AFN,2012-03-01,0.020191
USD,AFN,2012-02-01,0.020271
USD,AFN,2012-01-01,0.020232
USD,AFN,2011-12-01,0.020452
USD,AFN,2011-11-01,0.020750
USD,AFN,2011-10-01,0.020912
USD,AFN,2011-09-01,0.020874
USD,AFN,2011-08-01,0.021196
USD,AFN,2011-07-01,0.020988
USD,AFN,2011-06-01,0.021446
USD,AFN,2011-05-01,0.021704
USD,AFN,2011-04-01,0.021858
USD,AFN,2011-03-01,0.022068
USD,AFN,2011-02-01,0.022087
USD,AFN,2011-01-01,0.022044
USD,AFN,2010-12-01,0.022084
USD,AFN,2010-11-01,0.022118
USD,AFN,2010-10-01,0.022154
USD,AFN,2010-09-01,0.022071
USD,AFN,2010-08-01,0.021804
USD,AFN,2010-07-01,0.022082
USD,AFN,2010-06-01,0.021576
USD,AFN,2010-05-01,0.021528
USD,AFN,2010-04-01,0.020983
USD,AFN,2010-03-01,0.020733
USD,AFN,2010-02-01,0.021076
USD,AFN,2010-01-01,0.020424
USD,AFN,2009-12-01,0.020350
USD,AFN,2009-11-01,0.020350
USD,AFN,2009-10-01,0.020245
USD,AFN,2009-09-01,0.020010
USD,AFN,2009-08-01,0.020229
USD,AFN,2009-07-01,0.020002
USD,AFN,2009-06-01,0.019102
USD,AFN,2009-05-01,0.019102
USD,AFN,2009-04-01,0.019102
USD,AFN,2009-03-01,0.019102
USD,AFN,2009-02-01,0.019108
USD,AFN,2009-01-01,0.019220
USD,AFN,2008-12-01,0.019218
USD,AFN,2008-11-01,0.019212
USD,AFN,2008-10-01,0.019639
USD,AFN,2008-09-01,0.019843
USD,AFN,2008-08-01,0.019980
USD,AFN,2008-07-01,0.019975
USD,AFN,2008-06-01,0.020048
USD,AFN,2008-05-01,0.020073
USD,AFN,2008-04-01,0.019971
USD,AFN,2008-03-01,0.020144
USD,AFN,2008-02-01,0.020272
USD,AFN,2008-01-01,0.020172
USD,AFN,2007-12-01,0.020121
USD,AFN,2007-11-01,0.020030
USD,AFN,2007-10-01,0.020030
USD,AFN,2007-09-01,0.020028
USD,AFN,2007-08-01,0.020068
USD,AFN,2007-07-01,0.020052
USD,AFN,2007-06-01,0.019940
USD,AFN,2007-05-01,0.019940
USD,AFN,2007-04-01,0.019952
USD,AFN,2007-03-01,0.019979
USD,AFN,2007-02-01,0.020012
USD,AFN,2007-01-01,0.020066
USD,AFN,2006-12-01,0.020048
USD,AFN,2006-11-01,0.020074
USD,AFN,2006-10-01,0.020094
USD,AFN,2006-09-01,0.019973
USD,AFN,2006-08-01,0.019952
USD,AFN,2006-07-01,0.019947
USD,AFN,2006-06-01,0.020122
USD,AFN,2006-05-01,0.020152
USD,AFN,2006-04-01,0.020044
USD,AFN,2006-03-01,0.021848
USD,AFN,2006-02-01,0.022851
USD,AFN,2006-01-01,0.022851
USD,AFN,2005-12-01,0.022851
USD,AFN,2005-11-01,0.023094
USD,AFN,2005-10-01,0.023373
USD,AFN,2005-09-01,0.023373
USD,AFN,2005-08-01,0.023373
USD,AFN,2005-07-01,0.023373
USD,AFN,2005-06-01,0.023373
USD,AFN,2005-05-01,0.023373
USD,AFN,2005-04-01,0.023373
USD,AFN,2005-03-01,0.023373
USD,AFN,2005-02-01,0.023373
USD,AFN,2005-01-01,0.023373
USD,AFN,2004-12-01,0.023373
