adm0_name,mkt_name,cm_name,mp_price,date,um_name
Madagascar,Boeny,Rice (paddy),0.38532000000000005,2011-4,KG
Madagascar,Boeny,Rice (paddy),0.280924,2011-5,KG
Madagascar,Boeny,Rice (paddy),0.27601799999999993,2011-6,KG
Madagascar,Boeny,Rice (paddy),0.25653,2011-7,KG
Madagascar,Boeny,Rice (paddy),0.27896999999999994,2011-8,KG
Madagascar,Boeny,Rice (paddy),0.334481,2011-9,KG
Madagascar,Boeny,Rice (paddy),0.31892000000000004,2011-10,KG
Madagascar,Boeny,Rice (paddy),0.310104,2011-11,KG
Madagascar,Boeny,Rice (paddy),0.313618,2011-12,KG
Madagascar,Boeny,Rice (paddy),0.28448000000000007,2012-1,KG
Madagascar,Boeny,Rice (paddy),0.31602,2012-2,KG
Madagascar,Boeny,Rice (paddy),0.332258,2012-3,KG
Madagascar,Boeny,Rice (paddy),0.30335999999999996,2012-4,KG
Madagascar,Boeny,Rice (paddy),0.276925,2012-5,KG
Madagascar,Boeny,Rice (paddy),0.27258,2012-6,KG
Madagascar,Boeny,Rice (paddy),0.25857,2012-7,KG
Madagascar,Boeny,Rice (paddy),0.260325,2012-8,KG
Madagascar,Boeny,Rice (paddy),0.26325,2012-9,KG
Madagascar,Ihorombe,Rice (paddy),0.24082500000000004,2011-4,KG
Madagascar,Ihorombe,Rice (paddy),0.21336,2011-5,KG
Madagascar,Ihorombe,Rice (paddy),0.18503999999999998,2011-6,KG
Madagascar,Ihorombe,Rice (paddy),0.22184999999999996,2011-7,KG
Madagascar,Ihorombe,Rice (paddy),0.24479999999999996,2011-8,KG
Madagascar,Ihorombe,Rice (paddy),0.29223599999999994,2011-9,KG
Madagascar,Ihorombe,Rice (paddy),0.29988000000000004,2011-10,KG
Madagascar,Ihorombe,Rice (paddy),0.30208,2011-11,KG
Madagascar,Ihorombe,Rice (paddy),0.278202,2011-12,KG
Madagascar,Ihorombe,Rice (paddy),0.3382400000000001,2012-1,KG
Madagascar,Ihorombe,Rice (paddy),0.28396,2012-2,KG
Madagascar,Ihorombe,Rice (paddy),0.28892,2012-3,KG
Madagascar,Ihorombe,Rice (paddy),0.28914,2012-4,KG
Madagascar,Ihorombe,Rice (paddy),0.206625,2012-5,KG
Madagascar,Ihorombe,Rice (paddy),0.24024,2012-6,KG
Madagascar,Ihorombe,Rice (paddy),0.23205,2012-7,KG
Madagascar,Ihorombe,Rice (paddy),0.24697499999999997,2012-8,KG
Madagascar,Ihorombe,Rice (paddy),0.2655,2012-9,KG
Madagascar,Sava,Rice (paddy),0.39799500000000004,2011-4,KG
Madagascar,Sava,Rice (paddy),0.39877999999999997,2011-5,KG
Madagascar,Sava,Rice (paddy),0.40348999999999996,2011-6,KG
Madagascar,Sava,Rice (paddy),0.29069999999999996,2011-7,KG
Madagascar,Sava,Rice (paddy),0.21470999999999996,2011-8,KG
Madagascar,Sava,Rice (paddy),0.28329,2011-9,KG
Madagascar,Sava,Rice (paddy),0.339864,2011-10,KG
Madagascar,Sava,Rice (paddy),0.4012,2011-11,KG
