adm0_name,mkt_name,cm_name,mp_price,date,um_name
Armenia,National Average,Fuel (diesel),7404.035211979729,2008-3,KG
Armenia,National Average,Fuel (diesel),7230.239748140185,2008-4,KG
Armenia,National Average,Fuel (diesel),6022.876916036329,2008-5,KG
Armenia,National Average,Fuel (diesel),5945.355526280118,2008-6,KG
Armenia,National Average,Fuel (diesel),5881.223872701074,2008-7,KG
Armenia,National Average,Fuel (diesel),5347.584890176753,2008-8,KG
Armenia,National Average,Fuel (diesel),8303.842694820032,2008-11,KG
Armenia,National Average,Fuel (diesel),8812.552224620904,2008-12,KG
Armenia,National Average,Fuel (diesel),8563.729866448646,2009-1,KG
Armenia,National Average,Fuel (diesel),8865.13160943543,2009-2,KG
Armenia,National Average,Fuel (diesel),9790.411256649608,2009-3,KG
Armenia,National Average,Fuel (diesel),9651.092871381194,2009-4,KG
Armenia,National Average,Fuel (diesel),9752.36253668206,2009-5,KG
Armenia,National Average,Fuel (diesel),8980.42370574284,2009-6,KG
Armenia,National Average,Fuel (diesel),9005.411383584113,2009-7,KG
Armenia,National Average,Fuel (diesel),8664.510792964897,2009-8,KG
Armenia,National Average,Fuel (diesel),8860.957787954547,2009-9,KG
Armenia,National Average,Fuel (diesel),8625.627825863456,2009-10,KG
Armenia,National Average,Fuel (diesel),8556.39944240643,2009-11,KG
Armenia,National Average,Fuel (diesel),8384.245857734722,2009-12,KG
Armenia,National Average,Fuel (diesel),8618.46612120734,2010-1,KG
Armenia,National Average,Fuel (diesel),8684.055665508766,2010-2,KG
Armenia,National Average,Fuel (diesel),8406.09356316028,2010-3,KG
Armenia,National Average,Fuel (diesel),7947.21865368223,2010-4,KG
Armenia,National Average,Fuel (diesel),7959.285551973585,2010-5,KG
Armenia,National Average,Fuel (diesel),7721.517499636807,2010-6,KG
Armenia,National Average,Fuel (diesel),7776.102201963067,2010-7,KG
Armenia,National Average,Fuel (diesel),8020.328589803164,2010-8,KG
Armenia,National Average,Fuel (diesel),7884.139112295572,2010-9,KG
Armenia,National Average,Fuel (diesel),7532.156149656581,2010-10,KG
Armenia,National Average,Fuel (diesel),7577.82249458444,2010-11,KG
Armenia,National Average,Fuel (diesel),7537.586687615959,2010-12,KG
Armenia,National Average,Fuel (diesel),6775.622183630686,2011-1,KG
Armenia,National Average,Fuel (diesel),6963.653578131387,2011-2,KG
Armenia,National Average,Fuel (diesel),7082.469991946775,2011-3,KG
Armenia,National Average,Fuel (diesel),6685.441922562557,2011-7,KG
Armenia,National Average,Fuel (diesel),6682.988549379966,2011-8,KG
Armenia,National Average,Fuel (diesel),6905.871060314044,2011-9,KG
Armenia,National Average,Fuel (diesel),7119.01739254012,2011-10,KG
Armenia,National Average,Fuel (diesel),6976.079830464278,2011-11,KG
Armenia,National Average,Fuel (diesel),6961.591890377498,2011-12,KG
Armenia,National Average,Fuel (diesel),7563.15901168619,2012-1,KG
Armenia,National Average,Fuel (diesel),7288.515626447698,2012-2,KG
Armenia,National Average,Fuel (diesel),7066.244259824026,2012-3,KG
Armenia,National Average,Fuel (petrol-gasoline),6039.749685060711,2008-3,L
Armenia,National Average,Fuel (petrol-gasoline),5872.50539715163,2008-4,L
Armenia,National Average,Fuel (petrol-gasoline),5261.652194703959,2008-5,L
Armenia,National Average,Fuel (petrol-gasoline),5119.333608884822,2008-6,L
Armenia,National Average,Fuel (petrol-gasoline),5028.418799779734,2008-7,L
Armenia,National Average,Fuel (petrol-gasoline),4680.248421277891,2008-8,L
Armenia,National Average,Fuel (petrol-gasoline),6908.531823601614,2008-11,L
Armenia,National Average,Fuel (petrol-gasoline),7155.243427729,2008-12,L
Armenia,National Average,Fuel (petrol-gasoline),6763.43669790551,2009-1,L
Armenia,National Average,Fuel (petrol-gasoline),6906.296040102051,2009-2,L
Armenia,National Average,Fuel (petrol-gasoline),7703.913679590344,2009-3,L
Armenia,National Average,Fuel (petrol-gasoline),7391.772030190855,2009-4,L
Armenia,National Average,Fuel (petrol-gasoline),7047.987394356109,2009-5,L
Armenia,National Average,Fuel (petrol-gasoline),6109.730268856941,2009-6,L
Armenia,National Average,Fuel (petrol-gasoline),6361.009321861228,2009-7,L
Armenia,National Average,Fuel (petrol-gasoline),6164.4034703679645,2009-8,L
Armenia,National Average,Fuel (petrol-gasoline),6352.199114239916,2009-9,L
Armenia,National Average,Fuel (petrol-gasoline),6239.347887838331,2009-10,L
Armenia,National Average,Fuel (petrol-gasoline),6233.113004278884,2009-11,L
Armenia,National Average,Fuel (petrol-gasoline),6062.895797351756,2009-12,L
Armenia,National Average,Fuel (petrol-gasoline),6297.526731623986,2010-1,L
Armenia,National Average,Fuel (petrol-gasoline),6312.403879693049,2010-2,L
Armenia,National Average,Fuel (petrol-gasoline),6169.308485035722,2010-3,L
Armenia,National Average,Fuel (petrol-gasoline),6106.473067071581,2010-4,L
Armenia,National Average,Fuel (petrol-gasoline),6176.205102549336,2010-5,L
Armenia,National Average,Fuel (petrol-gasoline),6022.0408201851,2010-6,L
Armenia,National Average,Fuel (petrol-gasoline),6020.526880866781,2010-7,L
Armenia,National Average,Fuel (petrol-gasoline),6191.651123165762,2010-8,L
Armenia,National Average,Fuel (petrol-gasoline),6156.233570942603,2010-9,L
Armenia,National Average,Fuel (petrol-gasoline),6022.917659428018,2010-10,L
Armenia,National Average,Fuel (petrol-gasoline),6026.689839298992,2010-11,L
Armenia,National Average,Fuel (petrol-gasoline),5933.814173322231,2010-12,L
Armenia,National Average,Fuel (petrol-gasoline),6198.508564139943,2011-1,L
Armenia,National Average,Fuel (petrol-gasoline),5968.805270915216,2011-2,L
Armenia,National Average,Fuel (petrol-gasoline),5816.931429548564,2011-3,L
Armenia,National Average,Fuel (petrol-gasoline),5302.776140994104,2011-7,L
Armenia,National Average,Fuel (petrol-gasoline),5300.830168098328,2011-8,L
Armenia,National Average,Fuel (petrol-gasoline),5591.484091331226,2011-9,L
Armenia,National Average,Fuel (petrol-gasoline),5850.571213587014,2011-10,L
Armenia,National Average,Fuel (petrol-gasoline),5724.620938020632,2011-11,L
Armenia,National Average,Fuel (petrol-gasoline),5729.007620731758,2011-12,L
Armenia,National Average,Fuel (petrol-gasoline),6364.734448734449,2012-1,L
Armenia,National Average,Fuel (petrol-gasoline),6136.542470467556,2012-2,L
Armenia,National Average,Fuel (petrol-gasoline),5890.651949495751,2012-3,L
Azerbaijan,National Average,Wheat flour,39766.99314264935,2007-1,KG
Azerbaijan,National Average,Wheat flour,37201.38068183325,2007-2,KG
Azerbaijan,National Average,Wheat flour,36038.83753552596,2007-3,KG
Azerbaijan,National Average,Wheat flour,36038.83753552596,2007-4,KG
Azerbaijan,National Average,Wheat flour,34946.75154960094,2007-5,KG
Azerbaijan,National Average,Wheat flour,34946.75154960094,2007-6,KG
Azerbaijan,National Average,Wheat flour,34946.75154960094,2007-7,KG
Azerbaijan,National Average,Wheat flour,34946.75154960094,2007-8,KG
Azerbaijan,National Average,Wheat flour,33918.905915789146,2007-9,KG
Azerbaijan,National Average,Wheat flour,32273.65078202466,2007-10,KG
Azerbaijan,National Average,Wheat flour,30576.30082824005,2007-11,KG
Azerbaijan,National Average,Wheat flour,29657.66980719162,2007-12,KG
Azerbaijan,National Average,Wheat flour,33923.787673617546,2008-1,KG
Azerbaijan,National Average,Wheat flour,33876.99351681553,2008-2,KG
Azerbaijan,National Average,Wheat flour,33689.40372181704,2008-3,KG
Azerbaijan,National Average,Wheat flour,33307.55619836347,2008-4,KG
Azerbaijan,National Average,Wheat flour,33157.98059367252,2008-5,KG
Azerbaijan,National Average,Wheat flour,32787.965005353966,2008-6,KG
Azerbaijan,National Average,Wheat flour,28361.851649026226,2008-7,KG
Azerbaijan,National Average,Wheat flour,25937.210283027838,2008-8,KG
Azerbaijan,National Average,Wheat flour,26521.09320148538,2008-9,KG
Azerbaijan,National Average,Wheat flour,25855.864940762138,2008-10,KG
Azerbaijan,National Average,Wheat flour,22722.223120975832,2008-11,KG
Azerbaijan,National Average,Wheat flour,22151.319046516648,2008-12,KG
Azerbaijan,National Average,Wheat flour,22667.99290588818,2009-1,KG
Azerbaijan,National Average,Wheat flour,23622.38415326511,2009-2,KG
Azerbaijan,National Average,Wheat flour,24005.43639073888,2009-3,KG
Azerbaijan,National Average,Wheat flour,24966.32586920221,2009-4,KG
Azerbaijan,National Average,Wheat flour,24477.714315101297,2009-5,KG
Azerbaijan,National Average,Wheat flour,23545.08033264635,2009-6,KG
Azerbaijan,National Average,Wheat flour,23111.18146365669,2009-7,KG
Azerbaijan,National Average,Wheat flour,23107.297581278755,2009-8,KG
Azerbaijan,National Average,Wheat flour,22663.402986076686,2009-9,KG
Azerbaijan,National Average,Wheat flour,21845.745693404624,2009-10,KG
Azerbaijan,National Average,Wheat flour,22233.047881304934,2009-11,KG
Azerbaijan,National Average,Wheat flour,22236.422005101933,2009-12,KG
Azerbaijan,National Average,Wheat flour,22535.640521994534,2010-1,KG
Azerbaijan,National Average,Wheat flour,21778.174359065415,2010-2,KG
Azerbaijan,National Average,Potatoes,48051.783380701294,2007-1,KG
Azerbaijan,National Average,Potatoes,38441.42670456103,2007-2,KG
Azerbaijan,National Average,Potatoes,39766.99314264935,2007-3,KG
Azerbaijan,National Average,Potatoes,26210.063662200704,2007-4,KG
Azerbaijan,National Average,Potatoes,24537.080875251722,2007-5,KG
Azerbaijan,National Average,Potatoes,32949.79431819517,2007-6,KG
Azerbaijan,National Average,Potatoes,32949.79431819517,2007-7,KG
Azerbaijan,National Average,Potatoes,32949.79431819517,2007-8,KG
Azerbaijan,National Average,Potatoes,32034.522253800857,2007-9,KG
Azerbaijan,National Average,Potatoes,28876.4243839168,2007-10,KG
Azerbaijan,National Average,Potatoes,28162.382341800043,2007-11,KG
Azerbaijan,National Average,Potatoes,27376.310591253805,2007-12,KG
Azerbaijan,National Average,Potatoes,24736.09517867946,2008-1,KG
Azerbaijan,National Average,Potatoes,23713.895461770873,2008-2,KG
Azerbaijan,National Average,Potatoes,23582.582605271924,2008-3,KG
Azerbaijan,National Average,Potatoes,21588.230869309653,2008-4,KG
Azerbaijan,National Average,Potatoes,19025.070832435053,2008-5,KG
Azerbaijan,National Average,Potatoes,26081.335799713375,2008-6,KG
Azerbaijan,National Average,Potatoes,25783.50149911475,2008-7,KG
Azerbaijan,National Average,Potatoes,23290.556172514793,2008-8,KG
Azerbaijan,National Average,Potatoes,22360.921718899433,2008-9,KG
Azerbaijan,National Average,Potatoes,21465.246365915737,2008-10,KG
Azerbaijan,National Average,Potatoes,21436.05954809041,2008-11,KG
Azerbaijan,National Average,Potatoes,21315.420214572623,2008-12,KG
Azerbaijan,National Average,Potatoes,26044.076955701315,2009-1,KG
Azerbaijan,National Average,Potatoes,28566.604092320595,2009-2,KG
Azerbaijan,National Average,Potatoes,29149.45847446864,2009-3,KG
Azerbaijan,National Average,Potatoes,29127.38018073591,2009-4,KG
Azerbaijan,National Average,Potatoes,20743.825690763813,2009-5,KG
Azerbaijan,National Average,Sugar,20593.621448871978,2007-1,KG
Azerbaijan,National Average,Sugar,17212.579121445237,2007-2,KG
Azerbaijan,National Average,Sugar,15584.36217752474,2007-3,KG
Azerbaijan,National Average,Sugar,15797.846590915491,2007-4,KG
Azerbaijan,National Average,Sugar,16017.261126900428,2007-5,KG
Azerbaijan,National Average,Sugar,16017.261126900428,2007-6,KG
Azerbaijan,National Average,Sugar,15797.846590915491,2007-7,KG
Azerbaijan,National Average,Sugar,15797.846590915491,2007-8,KG
Azerbaijan,National Average,Sugar,15797.846590915491,2007-9,KG
Azerbaijan,National Average,Sugar,15031.563377929295,2007-10,KG
Azerbaijan,National Average,Sugar,14659.870260115093,2007-11,KG
Azerbaijan,National Average,Sugar,14428.055581877006,2007-12,KG
Azerbaijan,National Average,Sugar,15622.79695495545,2008-1,KG
Azerbaijan,National Average,Sugar,15398.633416734332,2008-2,KG
Azerbaijan,National Average,Sugar,15313.365328098655,2008-3,KG
Azerbaijan,National Average,Sugar,15139.798271983396,2008-4,KG
Azerbaijan,National Average,Sugar,15071.809360760237,2008-5,KG
Azerbaijan,National Average,Sugar,14903.620456979075,2008-6,KG
Azerbaijan,National Average,Sugar,14733.429428065569,2008-7,KG
Azerbaijan,National Average,Sugar,14821.263018873049,2008-8,KG
Azerbaijan,National Average,Sugar,14620.602662357322,2008-9,KG
Azerbaijan,National Average,Sugar,14585.359710173516,2008-10,KG
Azerbaijan,National Average,Sugar,14565.527641651173,2008-11,KG
Azerbaijan,National Average,Sugar,14483.554761183961,2008-12,KG
Azerbaijan,National Average,Sugar,12240.716169179617,2009-1,KG
Azerbaijan,National Average,Sugar,12283.639759697857,2009-2,KG
Azerbaijan,National Average,Sugar,12242.77255927683,2009-3,KG
Azerbaijan,National Average,Sugar,12357.070379706141,2009-4,KG
Azerbaijan,National Average,Sugar,12362.481977323887,2009-5,KG
Azerbaijan,National Average,Milk (non-pasteurized),28831.070028420774,2007-1,L
Azerbaijan,National Average,Milk (non-pasteurized),28127.87319845929,2007-2,L
Azerbaijan,National Average,Milk (non-pasteurized),28127.87319845929,2007-3,L
Azerbaijan,National Average,Milk (non-pasteurized),29570.32823427771,2007-4,L
Azerbaijan,National Average,Milk (non-pasteurized),30348.49476675871,2007-5,L
Azerbaijan,National Average,Milk (non-pasteurized),31168.72435504948,2007-6,L
Azerbaijan,National Average,Milk (non-pasteurized),25070.495676887633,2007-7,L
Azerbaijan,National Average,Milk (non-pasteurized),25070.495676887633,2007-8,L
Azerbaijan,National Average,Milk (non-pasteurized),24537.080875251722,2007-9,L
Azerbaijan,National Average,Milk (non-pasteurized),23346.89631040082,2007-10,L
Azerbaijan,National Average,Milk (non-pasteurized),24887.686720660506,2007-11,L
Azerbaijan,National Average,Milk (non-pasteurized),24829.67704788136,2007-12,L
Azerbaijan,National Average,Milk (non-pasteurized),26984.831104013956,2008-1,L
Azerbaijan,National Average,Milk (non-pasteurized),26348.772735300965,2008-2,L
Azerbaijan,National Average,Milk (non-pasteurized),25087.85383539567,2008-3,L
Azerbaijan,National Average,Milk (non-pasteurized),25905.87704317159,2008-4,L
