,adm0_name,mkt_name,cm_name,cur_name,pt_name,um_name,mp_price,date
0,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,50.0,2014-1
1,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,50.0,2014-2
2,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,50.0,2014-3
3,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,50.0,2014-4
4,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,50.0,2014-5
5,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,50.0,2014-6
11,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,50.0,2014-12
12,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,50.0,2015-1
19,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,56.25,2015-10
20,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,65.25,2015-11
21,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,55.5,2015-12
22,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,55.5,2016-1
23,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,55.5,2016-2
24,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,55.5,2016-3
25,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,50.0,2016-4
26,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,50.0,2016-5
27,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,50.0,2016-6
28,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,50.0,2016-7
29,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,50.0,2016-8
