,Unnamed: 0,adm0_name,mkt_name,cm_name,cur_name,pt_name,um_name,mp_price,date
0,0,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,50.0,2014-1
1,1,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,50.0,2014-2
2,2,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,50.0,2014-3
3,3,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,50.0,2014-4
4,4,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,50.0,2014-5
5,5,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,50.0,2014-6
6,11,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,50.0,2014-12
7,12,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,50.0,2015-1
8,19,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,56.25,2015-10
9,20,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,65.25,2015-11
10,21,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,55.5,2015-12
11,22,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,55.5,2016-1
12,23,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,55.5,2016-2
13,24,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,55.5,2016-3
14,25,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,50.0,2016-4
15,26,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,50.0,2016-5
16,27,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,50.0,2016-6
17,28,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,50.0,2016-7
18,29,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,50.0,2016-8
5,5,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,50.0,2014-7
5,5,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,50.0,2014-8
5,5,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,50.0,2014-9
5,5,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,50.0,2014-10
5,5,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,50.0,2014-11
7,12,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,50.69444444444444,2015-2
7,12,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,51.388888888888886,2015-3
7,12,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,52.08333333333333,2015-4
7,12,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,52.77777777777777,2015-5
7,12,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,53.472222222222214,2015-6
7,12,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,54.16666666666666,2015-7
7,12,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,54.8611111111111,2015-8
7,12,Afghanistan,Fayzabad,Bread,AFN,Retail,KG,55.55555555555554,2015-9
